,id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer
11,16,Dancer in the Dark,7.868,1697,Released,2000-09-01,40061153.0,140.0,12500000.0,tt0168629,en,Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",22.727,You don't need eyes to see.,"Drama, Crime","Lantia Cinema & Audiovisivi, Fine Line Features, Zentropa Entertainments, DR, SVT Drama, ARTE, Memfis Film, France 3 Cinéma, Angel films, YLE, Blind Spot Pictures, Liberator Productions, Íslenska kvikmyndasamsteypan, Pain Unlimited GmbH Filmproduktion, Trust Film Svenska, Cinematograph A/S, What Else? B.V, Filmek A/S, Film4 Productions, Canal+, ARTE France Cinéma, Film i Väst, TV 1000 Sverige, WDR, Constantin Film, VPRO","Argentina, Denmark, Finland, France, Germany, Iceland, Italy, Netherlands, Norway, Sweden, United Kingdom, United States of America",English,"Bobo Eriksson, Caroline Sascha Cogez, Bo Westerholm, Peter Stormare, Vladica Kostic, Ana Christine Broström, Udo Kier, T.J. Rizzo, Mette Berggreen, Anders Tärneberg, Edvin Karsson, Erik Drugge, Stellan Skarsgård, Carl Johan De Neergaard, Rikke Lylloff, Björk, Claus Berenhard, Britt Bendixen, Elin Johansson, Nick Wolf, Cara Seymour, Birgitte Skands, Michael Flessas, John Randolph Jones, Noah Lazarus, Sean-Michael Smith, Vincent Paterson, Lars Michael Dinesen, Diana G.L. Watson, Emilie Bendz, Frederik Mondrup, Marianne Bengtsson, Paprika Steen, Karoliina Heiskanen, Sheldon Litt, Reathel Bean, Eric Voge, Anders-Peter Torsleff Hansen, Anthony Ajoise Olufemi Jacob, Zeljko Ivanek, Fredrik Börgesson, Eli Stalhand, Siobhan Fallon Hogan, Anna David, Ami Eklöf-Annell, Jean-Marc Barr, Anna Rosenberg, Bjorn Ahlander, Al Agami, Anders Thorhauge, Alex Mouro, Ann Crosset, Ed Hickok, John Martinus, Alexander Arli, Allan Gyldenkærne, Annette Lindholm, Anna Norberg, Carol Linda Nielsen, Erik Dammann, Troels Asmussen, Andrew Lucre, Katrine Falkenberg, David Morse, Cristian Valle, Luke Reilly, Jens Albinus, Joel Grey, Timm Zimmermann, Catherine Deneuve",Lars von Trier,Robby Müller,"Sjón, Lars von Trier","Leo Pescarolo, Peter Aalbæk Jensen, Vibeke Windeløv",Björk
26,55,Amores Perros,7.6,2475,Released,2000-06-16,20908467.0,154.0,2000000.0,tt0245712,es,Amores perros,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",50.434,Love. Betrayal. Death.,"Drama, Thriller","Altavista Films, Zeta Film",Mexico,Español,"Gerardo Campbell, Rosa María Bianchi, Ricardo Dalmacci, Goya Toledo, Dagoberto Gama, Gustavo Sánchez Parra, Álvaro Guerrero, Laura Almela, Vanessa Bauche, Humberto Busto, Marco Pérez, Emilio Echevarría, Rodrigo Ostap, Heriberto del Castillo, Lourdes Echevarría, Dunia Saldívar, Roberto Medina, Jorge Salinas, Carlos Samperio, Mauricio Martínez, Rodrigo Murray, Adriana Barraza, Gustavo Muñoz, José Sefami, Patricio Castillo, Gael García Bernal",Alejandro González Iñárritu,Rodrigo Prieto,Guillermo Arriaga,"Martha Sosa Elizondo, Francisco González Compeán, Alejandro González Iñárritu",Gustavo Santaolalla
31,64,Talk to Her,7.579,1233,Released,2002-03-15,64803131.0,112.0,,tt0287467,es,Hable con ella,Two men share an odd friendship while they care for two women who are both in deep comas.,18.855,,"Drama, Romance","Vía Digital, Good Machine, El Deseo, Atresmedia",Spain,Español,"Carlos García Cambero, Leonor Watling, Pina Bausch, Agustín Almodóvar, Javier Cámara, Lola García, Fernando Iglesias, Chus Lampreave, Lola Dueñas, Rosario Flores, Caetano Veloso, Carmen Machi, Malou Airaudo, Darío Grandinetti, Esther García, Fele Martínez, Roberto Álvarez, Paz Vega, Mariola Fuentes, Adolfo Fernández, Geraldine Chaplin, Helio Pedregal, Elena Anaya, Ana Fernández",Pedro Almodóvar,Javier Aguirresarobe,Pedro Almodóvar,"Michel Ruben, Agustín Almodóvar","Alberto Iglesias, Vicente Amigo"
32,65,8 Mile,7.134,6958,Released,2002-11-08,242875078.0,111.0,41000000.0,tt0298203,en,8 Mile,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",78.615,Every moment is another chance,"Drama, Music","Mikona Productions, Imagine Entertainment","Germany, United States of America",English,"Malik Barnhardt, Mike Bell, Allen Adams, Abdul Salaam El Razzac, DJ Head, Paul Bates, Rockey Black, Brittany Murphy, Na'Keya Snoddy, Taryn Manning, Adam Brook, Kim Basinger, Michael Shannon, Nashawn 'Ox' Breedlove, Njeri Earth, Venicia Foreman, Brandon T. Jackson, Omar Benson Miller, Proof, Kyla Womack, Day Golfin, Obie Trice, Bushman, Larry Hudson, Eugene Byrd, Steven Monroe, Mekhi Phifer, De'Angelo Wilson, Xzibit, Chloe Greenfield, Hom, John Smith Jr., Anthony Mackie, Jennifer Kitchen, Waverly W. Alford II, Strike, Mary Hannigan, Eminem, Craig Chandler, Miz-Korona, Melissa Zaglanikzny, Evan Jones",Curtis Hanson,Rodrigo Prieto,Scott Silver,"Jimmy Iovine, Jim Whitaker, Brian Grazer, Gregory Goodman, Curtis Hanson, Paul Rosenberg",
38,71,Billy Elliot,7.6,3691,Released,2000-09-28,109280263.0,110.0,5000000.0,tt0249462,en,Billy Elliot,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",47.61,Inside every one of us is a special talent waiting to come out. The trick is finding it.,"Drama, Comedy, Music","StudioCanal, BBC Film, Tiger Aspect, Arts Council of England, Working Title Films, Universal Pictures, WT² Productions","France, United Kingdom, United States of America",English,"Lee Williams, Colin MacLachlan, Neil North, Paul Ridley, Adam Cooper, Imogen Claire, Diana Kent, Stephen Mangan, Matthew James Thomas, Merelina Kendall, Jamie Bell, Petra Siniawski, Carol McGuigan, Merryn Owen, Barbara Leigh-Hunt, Jamie Draven, Janine Birkett, Patrick Malahide, Tracey Wilkinson, Denny Ferguson, Charlie Hardwick, Julie Walters, Mike Elliot, Stuart Wells, Dennis Lingard, Gary Lewis, Nicola Blackwell, Trevor Fox, Billy Fane, Jean Heywood, Zoë Bell, Joe Renton",Stephen Daldry,Brian Tufano,Lee Hall,"Jonathan Finn, Natascha Wharton, Tessa Ross, David M. Thompson, Greg Brenman, Charles Brand",Stephen Warbeck
43,77,Memento,8.184,14320,Released,2000-10-11,40000000.0,113.0,9000000.0,tt0209144,en,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",44.211,Some memories are best forgotten.,"Mystery, Thriller","Summit Entertainment, Newmarket Capital Group, Team Todd, I Remember Productions, Newmarket Films",United States of America,English,"Carrie-Anne Moss, Callum Keith Rennie, Jorja Fox, Stephen Tobolowsky, Kimberly Campbell, Harriet Sansom Harris, Joe Pantoliano, Russ Fega, Marianne Muellerleile, Larry Holden, Thomas Lennon, Mark Boone Junior, Guy Pearce",Christopher Nolan,Wally Pfister,"Jonathan Nolan, Christopher Nolan","Jennifer Todd, Suzanne Todd, Aaron Ryder",David Julyan
45,79,Hero,7.506,2151,Released,2002-07-22,177394432.0,99.0,31000000.0,tt0299977,zh,英雄,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",31.943,One man's strength will unite an empire.,"Drama, Adventure, Action, History","Beijing New Picture Film Co. Ltd., China Film Co-Production Corporation","China, Hong Kong, Australia",普通话,"Jin Ming, Chen Daoming, Shou Xin Wang, Zhongyuan Liu, Maggie Cheung, Donnie Yen, Ma Wen Hua, Zhang Ziyi, Xu Kuang Hua, Jet Li, Qin Yan, Chang Xiao Yang, James Hong, Zhang Yakun, Tianyong Zheng, Tony Leung Chiu-wai",Zhang Yimou,Christopher Doyle,"Feng Li, Bin Wang, Zhang Yimou","Zhang Weiping, Bill Kong Chi-Keung, Zhang Yimou, Zhang Zhenyan, Shoufang Dou",Dun Tan
59,94,Kunstgriff,7.5,4,Released,2002-01-01,,6.0,,tt0436488,de,Kunstgriff,Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film.,1.376,,Comedy,Hamburger Filmschule,Germany,No Language,"Ursula Buschhorn, Hans-Werner Meyer",André F. Nebe,Sven O. Hill,Katrin Lehnert,Raoul B. Reinert,
63,98,Gladiator,8.2,17788,Released,2000-05-04,465361176.0,155.0,103000000.0,tt0172495,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",155.689,What we do in life echoes in eternity.,"Action, Drama, Adventure","Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, DreamWorks Pictures","United Kingdom, United States of America",English,"Brian Smyj, Russell Crowe, John Shrapnel, Paul Sacks, Richard Harris, Richard Stride, David Schofield, Omid Djalili, Tommy Flanagan, Joaquin Phoenix, Paul Woodadge, Antone Pagán, Connie Nielsen, Derek Jacobi, Giannina Facio, Malcolm Ellul, Ralf Moeller, João Costa Menezes, Mark Lewis, Ray Mangion, Oliver Reed, Tony Tomlinson, Djimon Hounsou, Alun Raglan, Neil Roche, Al Hunter Ashton, Tomas Arana, Sven-Ole Thorsen, David Bailie, Steve Saunders, Michael Yale, David J. Nicholls, Giorgio Cantarini, Billy Dowd, Chris Kell, John Quinn, Mike Mitchell, Nicholas McGaughey, Spencer Treat Clark, Tony Curran, Chick Allan, David Hemmings, Norman Campbell Rees",Ridley Scott,John Mathieson,"William Nicholson, David Franzoni, John Logan","Walter F. Parkes, Branko Lustig, Ridley Scott, David Franzoni, Laurie MacDonald, Douglas Wick","Lisa Gerrard, Hans Zimmer"
67,102,Open Hearts,6.952,94,Released,2002-09-06,,113.0,,tt0315543,da,Elsker dig for evigt,"Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don’t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her.",9.551,,"Drama, Romance","Zentropa Entertainments, Det Danske Filminstitut",Denmark,Dansk,"Sonja Richter, Stine Bjerregaard, Tina Gylling Mortensen, Ulf Pilgaard, Hans Henrik Clemensen, Jens Basse Dam, Birthe Neumann, Niels Olsen, Hanne Windfeld, Susanne Juhász, Anders Nyborg, Pelle Bang Sørensen, Nikolaj Lie Kaas, Philip Zandén, Michel Castenholt, Paprika Steen, Ronnie Lorenzen, Ida Dwinger, Mads Mikkelsen, Birgitte Prins",Susanne Bier,Morten Søborg,Anders Thomas Jensen,"Jonas Frederiksen, Peter Aalbæk Jensen, Sisse Graum Jørgensen, Vibeke Windeløv",Jesper Winge Leisner
