,date,time,ticket_number,article,Quantity,unit_price,retour
0,2021*01*02,08:38,150040.0,BAGUETTE,1.0,"0,90 €",False
1,2021*01*02,08:38,150040.0,PAIN AU CHOCOLAT,3.0,"1,20 €",False
4,2021*01*02,09:14,150041.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
5,2021*01*02,09:14,150041.0,PAIN,1.0,"1,15 €",False
8,2021*01*02,09:25,150042.0,TRADITIONAL BAGUETTE,5.0,"1,20 €",False
11,2021*01*02,09:25,150043.0,BAGUETTE,2.0,"0,90 €",False
12,2021*01*02,09:25,150043.0,CROISSANT,3.0,"1,10 €",False
15,2021*01*02,09:27,150044.0,BANETTE,1.0,"1,05 €",False
18,2021*01*02,09:32,150045.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
19,2021*01*02,09:32,150045.0,CROISSANT,6.0,"1,10 €",False
22,2021*01*02,09:37,150046.0,PAIN AU CHOCOLAT,6.0,"1,20 €",False
23,2021*01*02,09:37,150046.0,CROISSANT,6.0,"1,10 €",False
24,2021*01*02,09:37,150046.0,TRADITIONAL BAGUETTE,6.0,"1,20 €",False
29,2021*01*02,09:39,150048.0,CROISSANT,3.0,"1,10 €",False
32,2021*01*02,09:40,150049.0,CROISSANT,2.0,"1,10 €",False
33,2021*01*02,09:40,150049.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
36,2021*01*02,09:41,150050.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
39,2021*01*02,09:46,150051.0,PAIN,1.0,"1,15 €",False
42,2021*01*02,09:48,150052.0,BANETTINE,1.0,"0,60 €",False
43,2021*01*02,09:48,150052.0,SPECIAL BREAD,1.0,"2,40 €",False
44,2021*01*02,09:48,150052.0,COUPE,1.0,"0,15 €",False
47,2021*01*02,09:48,150053.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
48,2021*01*02,09:48,150053.0,SAND JB EMMENTAL,2.0,"3,50 €",False
51,2021*01*02,09:49,150054.0,KOUIGN AMANN,1.0,"2,10 €",False
52,2021*01*02,09:49,150054.0,PAIN,2.0,"1,15 €",False
55,2021*01*02,09:57,150055.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
58,2021*01*02,09:58,150056.0,BANETTE,3.0,"1,05 €",False
59,2021*01*02,09:58,150056.0,CROISSANT,5.0,"1,10 €",False
64,2021*01*02,10:03,150058.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
65,2021*01*02,10:03,150058.0,CROISSANT,2.0,"1,10 €",False
66,2021*01*02,10:03,150058.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
69,2021*01*02,10:04,150059.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
72,2021*01*02,10:05,150060.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
75,2021*01*02,10:12,150061.0,SPECIAL BREAD,1.0,"2,40 €",False
76,2021*01*02,10:12,150061.0,COUPE,1.0,"0,15 €",False
77,2021*01*02,10:12,150061.0,BOULE 200G,1.0,"1,10",False
78,2021*01*02,10:12,150061.0,COUPE,1.0,"0,15 €",False
81,2021*01*02,10:17,150062.0,SPECIAL BREAD,1.0,"2,40 €",False
82,2021*01*02,10:17,150062.0,COUPE,3.0,"0,15 €",False
83,2021*01*02,10:17,150062.0,BOULE 400G,2.0,"1,50 €",False
86,2021*01*02,10:18,150063.0,COUPE,1.0,"0,15 €",False
87,2021*01*02,10:18,150063.0,GAL FRANGIPANE 6P,1.0,"12,00 €",False
88,2021*01*02,10:18,150063.0,CAMPAGNE,1.0,"1,80 €",False
89,2021*01*02,10:18,150063.0,COUPE,1.0,"0,15 €",False
90,2021*01*02,10:18,150063.0,MOISSON,1.0,"2,00 €",False
91,2021*01*02,10:18,150063.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
94,2021*01*02,10:22,150064.0,SAND JB EMMENTAL,1.0,"3,50 €",False
97,2021*01*02,10:22,150065.0,SAND JB EMMENTAL,1.0,"3,50 €",False
98,2021*01*02,10:22,150065.0,CAFE OU EAU,2.0,"1,00 €",False
101,2021*01*02,10:24,150066.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
102,2021*01*02,10:24,150066.0,BAGUETTE,1.0,"0,90 €",False
103,2021*01*02,10:24,150066.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
104,2021*01*02,10:24,150066.0,CROISSANT,2.0,"1,10 €",False
107,2021*01*02,10:24,150067.0,CROISSANT,2.0,"1,10 €",False
108,2021*01*02,10:24,150067.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
111,2021*01*02,10:25,150068.0,BANETTINE,2.0,"0,60 €",False
114,2021*01*02,10:29,150069.0,BANETTE,1.0,"1,05 €",False
115,2021*01*02,10:29,150069.0,KOUIGN AMANN,,"2,10 €",False
116,2021*01*02,10:29,150069.0,BRIOCHE,1.0,"5,00 €",False
117,2021*01*02,10:29,150069.0,CEREAL BAGUETTE,2.0,"1,25 €",False
120,2021*01*02,10:33,150070.0,CROISSANT,2.0,"1,10 €",False
121,2021*01*02,10:33,150070.0,BANETTE,1.0,"1,05 €",False
122,2021*01*02,10:33,150070.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
125,2021*01*02,10:34,150071.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
126,2021*01*02,10:34,150071.0,PAIN AU CHOCOLAT,4.0,"1,20 €",False
127,2021*01*02,10:34,150071.0,CROISSANT,2.0,"1,10 €",False
130,2021*01*02,10:39,150072.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
133,2021*01*02,10:40,150073.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
136,2021*01*02,10:42,150074.0,BANETTINE,1.0,"0,60 €",False
139,2021*01*02,10:44,150075.0,COUPE,1.0,"0,15 €",False
140,2021*01*02,10:44,150075.0,SEIGLE,1.0,"1,80 €",False
143,2021*01*02,10:46,150076.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
146,2021*01*02,10:49,150077.0,COMPLET,1.0,"1,50 €",False
147,2021*01*02,10:49,150077.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
148,2021*01*02,10:49,150077.0,CROISSANT,2.0,"1,10 €",False
151,2021*01*02,10:50,150078.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
152,2021*01*02,10:50,150078.0,GAL FRANGIPANE 6P,1.0,"12,00 €",False
155,2021*01*02,10:51,150079.0,BAGUETTE,1.0,"0,90 €",False
156,2021*01*02,10:51,150079.0,DIVERS PATISSERIE,1.0,"0,00 €",False
157,2021*01*02,10:51,150079.0,SPECIAL BREAD,1.0,"2,40 €",False
158,2021*01*02,10:51,150079.0,GAL FRANGIPANE 4P,1.0,"8,00 €",False
161,2021*01*02,10:53,150080.0,,2.0,"1,20 €",False
162,2021*01*02,10:53,150080.0,CROISSANT,3.0,"1,10 €",False
165,2021*01*02,10:54,150081.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
168,2021*01*02,10:54,150082.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
171,2021*01*02,10:54,150083.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
174,2021*01*02,10:55,150084.0,CEREAL BAGUETTE,1.0,"1,25 €",False
175,2021*01*02,10:55,150084.0,COOKIE,1.0,"1,00 €",False
176,2021*01*02,10:55,150084.0,PAIN AU CHOCOLAT,4.0,"1,20 €",False
177,2021*01*02,10:55,150084.0,CROISSANT,4.0,"1,10 €",False
