,date,time,ticket_number,article,quantity,unit_price_euro,retour,day,subtotal,time_slot
46725,2021-06-01,07:43:00,177612,BAGUETTE,2,0.9,False,Tuesday,1.8,morning
46726,2021-06-01,07:50:00,177613,BANETTINE,1,0.6,False,Tuesday,0.6,morning
46727,2021-06-01,07:50:00,177613,SACHET VIENNOISERIE,1,4.0,False,Tuesday,4.0,morning
46728,2021-06-01,07:50:00,177613,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,morning
46729,2021-06-01,07:58:00,177614,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,morning
46730,2021-06-01,08:00:00,177615,FORMULE SANDWICH,1,6.5,False,Tuesday,6.5,morning
46731,2021-06-01,08:01:00,177616,CROISSANT,8,1.1,False,Tuesday,8.8,morning
46732,2021-06-01,08:01:00,177616,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,morning
46733,2021-06-01,08:02:00,177617,CAFE OU EAU,2,1.0,False,Tuesday,2.0,morning
46734,2021-06-01,08:02:00,177617,CROISSANT,3,1.1,False,Tuesday,3.3000000000000003,morning
46735,2021-06-01,08:04:00,177618,FORMULE SANDWICH,1,6.5,False,Tuesday,6.5,morning
46736,2021-06-01,08:07:00,177619,CROISSANT,4,1.1,False,Tuesday,4.4,morning
46737,2021-06-01,08:08:00,177620,CAFE OU EAU,1,1.0,False,Tuesday,1.0,morning
46738,2021-06-01,08:10:00,177621,CAFE OU EAU,1,1.0,False,Tuesday,1.0,morning
46739,2021-06-01,08:12:00,177622,BAGUETTE,2,0.9,False,Tuesday,1.8,morning
46740,2021-06-01,08:12:00,177622,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,morning
46741,2021-06-01,08:12:00,177623,BAGUETTE,2,0.9,False,Tuesday,1.8,morning
46742,2021-06-01,08:12:00,177623,PAIN AU CHOCOLAT,1,1.2,False,Tuesday,1.2,morning
46743,2021-06-01,08:12:00,177623,CROISSANT,1,1.1,False,Tuesday,1.1,morning
46744,2021-06-01,08:13:00,177624,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,morning
46745,2021-06-01,08:15:00,177625,BAGUETTE,1,0.9,False,Tuesday,0.9,morning
46746,2021-06-01,08:15:00,177625,PAIN,1,1.15,False,Tuesday,1.15,morning
46747,2021-06-01,08:16:00,177626,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,morning
46748,2021-06-01,08:19:00,177627,BAGUETTE,1,0.9,False,Tuesday,0.9,morning
46749,2021-06-01,08:20:00,177628,BANETTINE,1,0.6,False,Tuesday,0.6,morning
46750,2021-06-01,08:20:00,177628,BANETTE,1,1.05,False,Tuesday,1.05,morning
46751,2021-06-01,08:21:00,177629,CEREAL BAGUETTE,1,1.25,False,Tuesday,1.25,morning
46752,2021-06-01,08:27:00,177630,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,morning
46753,2021-06-01,08:27:00,177630,CAFE OU EAU,2,1.0,False,Tuesday,2.0,morning
46754,2021-06-01,08:28:00,177631,CAFE OU EAU,1,1.0,False,Tuesday,1.0,morning
46755,2021-06-01,08:37:00,177632,PAIN AUX RAISINS,2,1.4,False,Tuesday,2.8,morning
46756,2021-06-01,08:38:00,177633,CAFE OU EAU,1,1.0,False,Tuesday,1.0,morning
46757,2021-06-01,08:38:00,177633,CROISSANT,1,1.1,False,Tuesday,1.1,morning
46758,2021-06-01,08:38:00,177633,PAIN AU CHOCOLAT,1,1.2,False,Tuesday,1.2,morning
